id,city,city_ascii,state_id,state_name,county_name,lat,lng,population
12890,Pheasant Run,Pheasant Run,OH,Ohio,Lorain,41.2072,-82.1481,1470
12891,Brooklet,Brooklet,GA,Georgia,Bulloch,32.3897,-81.6668,1470
12892,Okawville,Okawville,IL,Illinois,Washington,38.4344,-89.5480,1469
12893,Saunders Lake,Saunders Lake,OR,Oregon,Coos,43.5214,-124.2110,1469
12894,Danbury,Danbury,TX,Texas,Brazoria,29.2274,-95.3461,1469
12895,Indios,Indios,PR,Puerto Rico,Guayanilla,17.9942,-66.8210,1469
12896,Holly Hill,Holly Hill,SC,South Carolina,Orangeburg,33.3245,-80.4130,1469
12897,Cohoe,Cohoe,AK,Alaska,Kenai Peninsula,60.2681,-151.2843,1469
12898,Bunker Hill,Bunker Hill,IL,Illinois,Macoupin,39.0416,-89.9511,1468
12899,Menard,Menard,TX,Texas,Menard,30.9185,-99.7837,1468
12900,Clarkson,Clarkson,KY,Kentucky,Grayson,37.4937,-86.2259,1468
12901,Leavittsburg,Leavittsburg,OH,Ohio,Trumbull,41.2469,-80.8769,1468
12902,Williamsville,Williamsville,IL,Illinois,Sangamon,39.9548,-89.5468,1468
12903,Niagara,Niagara,WI,Wisconsin,Marinette,45.7801,-87.9991,1468
12904,Stratford,Stratford,OK,Oklahoma,Garvin,34.7952,-96.9603,1468
12905,University of Pittsburgh Johnstown,University of Pittsburgh Johnstown,PA,Pennsylvania,Cambria,40.2626,-78.8297,1468
12906,Collinsville,Collinsville,MS,Mississippi,Lauderdale,32.4912,-88.8452,1467
12907,Fairmount,Fairmount,TN,Tennessee,Hamilton,35.1865,-85.3303,1467
12908,Helena,Helena,OK,Oklahoma,Alfalfa,36.5463,-98.2718,1467
12909,Kinsley,Kinsley,KS,Kansas,Edwards,37.9224,-99.4114,1467
12910,Averill Park,Averill Park,NY,New York,Rensselaer,42.6393,-73.5583,1466
12911,St. Elmo,St. Elmo,IL,Illinois,Fayette,39.0210,-88.8508,1466
12912,Russell,Russell,GA,Georgia,Barrow,33.9797,-83.6919,1466
12913,Tonka Bay,Tonka Bay,MN,Minnesota,Hennepin,44.9167,-93.5885,1466
12914,Donald,Donald,OR,Oregon,Marion,45.2227,-122.8389,1465
12915,Ravenna,Ravenna,NE,Nebraska,Buffalo,41.0275,-98.8945,1465
12916,Nederland,Nederland,CO,Colorado,Boulder,39.9633,-105.5071,1465
12917,Eleanor,Eleanor,WV,West Virginia,Putnam,38.5371,-81.9254,1465
12918,Munford,Munford,AL,Alabama,Talladega,33.5258,-85.9555,1465
12919,Lake Don Pedro,Lake Don Pedro,CA,California,Mariposa,37.6590,-120.3329,1465
12920,Rogersville,Rogersville,AL,Alabama,Lauderdale,34.8251,-87.2821,1464
12921,Gordo,Gordo,AL,Alabama,Pickens,33.3221,-87.9040,1464
12922,Woodacre,Woodacre,CA,California,Marin,38.0052,-122.6384,1464
12923,Luis M. Cintrón,Luis M. Cintron,PR,Puerto Rico,Fajardo,18.3008,-65.6371,1464
12924,Sundown,Sundown,TX,Texas,Hockley,33.4576,-102.4908,1464
12925,New Paris,New Paris,IN,Indiana,Elkhart,41.5005,-85.8249,1464
12926,Auburn,Auburn,KY,Kentucky,Logan,36.8654,-86.7110,1463
12927,Slater,Slater,IA,Iowa,Story,41.8807,-93.6911,1463
12928,Chevy Chase Heights,Chevy Chase Heights,PA,Pennsylvania,Indiana,40.6403,-79.1456,1463
12929,Vernon Center,Vernon Center,NJ,New Jersey,Sussex,41.1874,-74.5015,1462
12930,Urbana,Urbana,IA,Iowa,Benton,42.2286,-91.8867,1462
12931,Pierce City,Pierce City,MO,Missouri,Lawrence,36.9465,-94.0032,1462
12932,Willacoochee,Willacoochee,GA,Georgia,Atkinson,31.3358,-83.0446,1462
12933,Palomas,Palomas,PR,Puerto Rico,Yauco,18.0135,-66.8688,1461
12934,Nashville,Nashville,MI,Michigan,Barry,42.6032,-85.0941,1461
12935,Millers Creek,Millers Creek,NC,North Carolina,Wilkes,36.1909,-81.2356,1461
12936,Avis,Avis,PA,Pennsylvania,Clinton,41.1858,-77.3164,1461
12937,Queen City,Queen City,TX,Texas,Cass,33.1507,-94.1524,1461
12938,Lake Brownwood,Lake Brownwood,TX,Texas,Brown,31.8176,-99.1045,1461
12939,Broadway,Broadway,NC,North Carolina,Lee,35.4579,-79.0547,1460
12940,Patton Village,Patton Village,TX,Texas,Montgomery,30.1954,-95.1643,1460
12941,Bratenahl,Bratenahl,OH,Ohio,Cuyahoga,41.5538,-81.6055,1460
12942,Kingsley,Kingsley,IA,Iowa,Plymouth,42.5864,-95.9679,1459
12943,Spring Hope,Spring Hope,NC,North Carolina,Nash,35.9441,-78.1090,1459
12944,Silver Grove,Silver Grove,KY,Kentucky,Campbell,39.0404,-84.3995,1459
12945,Alpine,Alpine,NJ,New Jersey,Bergen,40.9616,-73.9198,1459
12946,Eagle Butte,Eagle Butte,SD,South Dakota,Ziebach,44.9939,-101.2310,1458
12947,Choudrant,Choudrant,LA,Louisiana,Lincoln,32.5503,-92.5121,1458
12948,Hamlin,Hamlin,WV,West Virginia,Lincoln,38.2805,-82.1084,1458
12949,Hurt,Hurt,VA,Virginia,Pittsylvania,37.0954,-79.3029,1457
12950,Star Valley,Star Valley,AZ,Arizona,Gila,34.2611,-111.2197,1457
12951,Arden on the Severn,Arden on the Severn,MD,Maryland,Anne Arundel,39.0677,-76.5964,1457
